Lon (deg),Lat (deg),Alt (m),Timestamp (ms UTC Unix),Time,Position Source,SEE_label
-66.08568263,-23.09429572,593328.5335,1526226072835,2018-05-13 15:41:12,onboard,0
-49.02710772,11.45203245,590787.1978,1526220831161,2018-05-13 14:13:51,onboard,0
142.6581747,-79.45992854,614636.4339,1526207480938,2018-05-13 10:31:20,onboard,0
-112.8624065,22.84814815,605949.2273,1526194179562,2018-05-13 6:49:39,onboard,0
132.9569778,-44.59857559,599918.1831,1526179331291,2018-05-13 2:42:11,onboard,0
-47.6935785,-10.95605685,602703.0697,1526177330536,2018-05-13 2:08:50,onboard,0
-89.07961481,-81.45314217,614872.7384,1526172741505,2018-05-13 0:52:21,onboard,0
-28.91164965,-34.60452742,607841.3964,1526171915797,2018-05-13 0:38:35,onboard,0
-62.01838269,-29.98126357,593787.5086,1526138976922,2018-05-12 15:29:36,onboard,0
-37.57295414,-31.10074442,595912.7475,1526133159379,2018-05-12 13:52:39,onboard,0
14.81187661,-75.02643084,613114.6977,1526126624668,2018-05-12 12:03:44,onboard,0
14.91289062,-75.06918452,613013.9155,1526126623864,2018-05-12 12:03:43,onboard,0
178.6844357,31.09800321,606483.7277,1526124458089,2018-05-12 11:27:38,onboard,0
-55.20229913,-49.20372452,612273.8256,1526090969077,2018-05-12 2:09:29,onboard,1
-24.72076014,-27.68354241,606961.7453,1526084818075,2018-05-12 0:26:58,onboard,1
-61.94821781,-19.54861791,592770.9978,1526052160608,2018-05-11 15:22:40,onboard,1
-61.30658963,-22.47117704,591609.3228,1526052113367,2018-05-11 15:21:53,onboard,1
-60.03225423,-28.00715922,594379.9296,1526052023732,2018-05-11 15:20:23,onboard,1
-39.64503975,-10.68915746,588710.8473,1526046504670,2018-05-11 13:48:24,onboard,1
-37.6065864,-20.36430584,590862.1957,1526046348485,2018-05-11 13:45:48,onboard,1
-13.08420812,-22.01509729,579414.7454,1526040522901,2018-05-11 12:08:42,onboard,1
78.72104753,78.63976344,611610.801,1525984472846,2018-05-10 20:34:32,onboard,1
-123.9290067,-48.94297006,602063.1314,1525982094814,2018-05-10 19:54:54,onboard,0
-85.43030372,-11.09353024,589446.3989,1525971111371,2018-05-10 16:51:51,onboard,0
-85.43030372,-11.09353024,589446.3989,1525971111371,2018-05-10 16:51:51,onboard,0
-85.43029098,-11.09359223,589446.5782,1525971111370,2018-05-10 16:51:51,onboard,0
-83.61457193,-19.72300094,591902.6487,1525970972077,2018-05-10 16:49:32,onboard,0
-61.02391104,-12.2922033,576752.3481,1525965293031,2018-05-10 15:14:53,onboard,0
-60.88738429,-12.93900101,589303.194,1525965282579,2018-05-10 15:14:42,onboard,0
-60.42246335,-15.16960222,590520.9732,1525965246592,2018-05-10 15:14:06,onboard,0
-58.8715039,-22.3608707,591908.2385,1525965130415,2018-05-10 15:12:10,onboard,0
-36.98813583,-11.66501816,576574.0107,1525959504224,2018-05-10 13:38:24,onboard,0
-36.83175368,-12.41108974,588940.5282,1525959492165,2018-05-10 13:38:12,onboard,0
-41.2148183,-70.81373007,618493.9642,1525911565120,2018-05-10 0:19:25,onboard,0
58.63860591,78.97509789,610077.8617,1525903279498,2018-05-09 22:01:19,onboard,0
68.73378058,-53.560229,614337.1014,1525888076461,2018-05-09 17:47:56,onboard,0
-36.54341812,-1.679620133,587241.6462,1525872680464,2018-05-09 13:31:20,onboard,0
-32.2336268,-22.42275989,591326.366,1525872345799,2018-05-09 13:25:45,onboard,0
-66.44607292,-30.89287179,610334.2251,1525835513353,2018-05-09 3:11:53,onboard,0
-40.73514932,-24.37726398,608686.2971,1525829608375,2018-05-09 1:33:28,onboard,0
-38.66075437,-14.85648772,605265.7539,1525829453806,2018-05-09 1:30:53,onboard,0
37.3505451,-67.83887912,616580.5593,1525807135570,2018-05-08 19:18:55,onboard,0
-80.25269395,-12.40773318,586485.3753,1525797124573,2018-05-08 16:32:04,onboard,0
-54.03137149,-22.01029014,590867.7254,1525791166723,2018-05-08 14:52:46,onboard,0
-32.45559425,-9.765922263,588034.2293,1525785565456,2018-05-08 13:19:25,onboard,0
72.97720044,-82.25550142,616428.9603,1525778502919,2018-05-08 11:21:42,onboard,0
-75.12008622,-79.87005777,615647.1434,1525720595422,2018-05-07 19:16:35,onboard,0
-72.54244422,-35.22142819,598298.9928,1525709766748,2018-05-07 16:16:06,onboard,0
-48.42754353,-35.03903474,597101.0744,1525703970712,2018-05-07 14:39:30,onboard,0
-170.9292569,-62.99231586,619355.6677,1525685269673,2018-05-07 9:27:49,onboard,0
-165.8898786,-54.34180687,615547.4484,1525685124754,2018-05-07 9:25:24,onboard,0
-64.16586168,-40.65448837,600939.6062,1525661702824,2018-05-07 2:55:02,onboard,0
-63.39025016,-37.9516902,612169.3732,1525661658604,2018-05-07 2:54:18,onboard,0
-60.59729954,-27.06104592,608943.6328,1525661480923,2018-05-07 2:51:20,onboard,0
-60.59729954,-27.06104592,608943.6328,1525661480923,2018-05-07 2:51:20,onboard,0
25.57614807,73.74641732,610100.2303,1525648229995,2018-05-06 23:10:29,onboard,0
145.1198588,76.99743794,607967.8364,1525647824579,2018-05-06 23:03:44,onboard,0
-0.4029747626,-77.51218705,619839.378,1525639137760,2018-05-06 20:38:57,onboard,0
-75.25468353,-12.7359446,589374.4082,1525623145798,2018-05-06 16:12:25,onboard,0
-18.81100504,-75.01047437,614506.0178,1525616314009,2018-05-06 14:18:34,onboard,0
-25.25367691,-20.61646019,590264.4064,1525611420664,2018-05-06 12:57:00,onboard,0
-20.84195615,56.77472044,586620.5709,1525606875859,2018-05-06 11:41:15,onboard,0
50.34847922,-33.75994084,595752.2297,1525593810853,2018-05-06 8:03:30,onboard,0
100.5738297,-40.5673929,600695.17,1525582101799,2018-05-06 4:48:21,onboard,0
-117.176527,77.41916179,606732.5416,1525537648639,2018-05-05 16:27:28,onboard,0
-47.03349169,-20.26945033,590677.2928,1525530240181,2018-05-05 14:24:00,onboard,0
-45.08506699,-28.82673672,581941.1769,1525530101692,2018-05-05 14:21:41,onboard,0
-58.00146865,-36.27653068,612175.1117,1525487660743,2018-05-05 2:34:20,onboard,0
-56.80600119,-31.70967028,612538.6286,1525487586173,2018-05-05 2:33:06,onboard,0
